Publicador,Total de vendas
Boost On,0.01
Ongakukan,0.01
T&E Soft,0.12
Quintet,0.02
Image Epoch,0.1
Empire Interactive,11.189999999999984
Asmik Ace Entertainment,0.23
Insomniac Games,0.11
Atlus,12.799999999999986
ArtDink,0.75
G.Rev,0.04
Tru Blu Entertainment,0.28
Gamebridge,0.7300000000000001
Palcom,4.17
Codemasters Online,0.02
Minato Station,0.05
System 3,0.21
Zoo Games,4.789999999999996
Cloud Imperium Games Corporation,0.08
Gust,1.09
Activision,721.0599999999822
Hip Interactive,0.3500000000000001
responDESIGN,0.14
Irem Software Engineering,0.45000000000000007
TalonSoft,0.8800000000000001
Asgard,0.25
The Adventure Company,0.52
Ecole,0.06
NewKidCo,1.3100000000000003
Success,1.9200000000000006
HAL Laboratory,0.06
Just Flight,0.04
GN Software,0.05
Aria,0.07
Koch Media,4.729999999999998
Team17 Software,0.05
Abylight,0.08
Pioneer LDC,0.7500000000000002
Griffin International,0.09
Red Orb,5.25
Asylum Entertainment,0.5800000000000001
Valve,1.73
Hello Games,1.5999999999999999
Essential Games,0.23
Dusenberry Martin Racing,0.06
Square,3.6499999999999995
CDV Software Entertainment,0.18
SCS Software,0.13999999999999999
Sting,0.6500000000000001
Misawa,0.07
Enjoy Gaming ltd.,0.09999999999999999
Tivola,0.17
1C Company,0.09999999999999999
Crimson Cow,0.07
Media Rings,0.65
Axela,0.26
Groove Games,0.09
Trion Worlds,1.1300000000000001
Bohemia Interactive,0.12000000000000001
Time Warner Interactive,0.33000000000000007
Comfort,0.15000000000000002
989 Studios,13.299999999999997
Stainless Games,0.02
Yacht Club Games,0.31000000000000005
Agatsuma Entertainment,0.31000000000000005
Banpresto,17.41000000000002
Aques,0.16
Midway Games,69.13000000000018
D3Publisher,23.990000000000062
Unknown,13.599999999999962
SSI,0.19
King Records,0.02
Ignition Entertainment,6.499999999999983
Blue Byte,0.03
Sony Computer Entertainment,607.2699999999904
Quest,0.71
Reef Entertainment,0.33000000000000007
Wargaming.net,0.29000000000000004
Zushi Games,1.8400000000000005
Pack In Soft,0.48
Daito,0.22999999999999998
Headup Games,0.03
Blast! Entertainment Ltd,0.37000000000000005
Alvion,0.04
The Learning Company,0.05
Harmonix Music Systems,0.8
Mamba Games,0.05
EON Digital Entertainment,0.01
Starpath Corp.,0.32
Tradewest,0.09
Naxat Soft,0.01
5pb,1.630000000000001
Milestone,0.08
Midas Interactive Entertainment,2.719999999999998
Square EA,0.8
Merscom LLC,0.2
Touchstone,1.5900000000000003
FuRyu,1.3100000000000007
Tommo,0.19999999999999998
Imax,0.06
Nippon Telenet,0.26
Konami Digital Entertainment,278.369999999996
10TACLE Studios,0.10999999999999999
Zoo Digital Publishing,12.889999999999956
Seta Corporation,0.6300000000000001
Destineer,4.369999999999994
Playlogic Game Factory,1.2100000000000004
Video System,2.17
SNK Playmore,0.9600000000000004
Avanquest,2.919999999999997
Mycom,0.02
NovaLogic,0.79
Virgin Interactive,43.89999999999997
Mastiff,2.229999999999999
PopCap Games,1.5600000000000005
SquareSoft,57.680000000000014
Fields,0.03
Arika,0.09999999999999999
Maxis,3.39
Oxygen Interactive,3.399999999999997
Playmore,0.04
HMH Interactive,0.13
Sunflowers,0.03
Telstar,0.28
Ubisoft,473.32999999999123
Paradox Development,0.01
Nordcurrent,0.5800000000000001
Nippon Ichi Software,14.069999999999945
Atari,146.4600000000001
Berkeley,0.03
NCS,0.4
Funsta,0.15
Takara Tomy,2.7199999999999998
Gameloft,0.11
BushiRoad,0.03
Genki,1.4700000000000002
Little Orbit,2.000000000000001
Giza10,0.02
Rondomedia,2.559999999999998
Yamasa Entertainment,0.04
Pony Canyon,0.05
DreamCatcher Interactive,0.9600000000000004
Gotham Games,3.729999999999999
NDA Productions,0.11
Mumbo Jumbo,0.5700000000000001
PM Studios,0.09999999999999999
DSI Games,0.34
Cygames,0.03
Datam Polystar,0.03
Paon,0.25
Telegames,1.03
TDK Mediactive,8.279999999999989
imageepoch Inc.,0.04
FunSoft,0.13
Tripwire Interactive,0.13
Acquire,1.08
Cave,0.33000000000000007
GT Interactive,25.22000000000002
505 Games,55.74999999999994
DTP Entertainment,3.549999999999994
Tecmo Koei,53.55000000000003
Strategy First,0.02
Mindscape,7.699999999999993
NEC Interchannel,0.78
Hamster Corporation,0.31000000000000005
Tetris Online,0.42000000000000004
Flashpoint Games,0.08
TechnoSoft,0.05
Marvelous Entertainment,2.3399999999999994
Play It,4.309999999999998
Arena Entertainment,4.72
TGL,0.09999999999999999
Black Bean Games,2.839999999999995
Simon & Schuster Interactive,0.1
Gremlin Interactive Ltd,1.08
"Destination Software, Inc",0.8600000000000003
THQ,340.3199999999938
Xplosiv,1.6400000000000006
Xseed Games,0.8900000000000002
BPS,0.52
Titus,3.3099999999999974
PlayV,0.45
Swing! Entertainment,0.4800000000000001
Culture Brain,0.27
Foreign Media Games,0.6200000000000001
Storm City Games,1.5300000000000005
Princess Soft,0.07
ValuSoft,0.39
Rage Software,1.4100000000000004
Human Entertainment,3.019999999999999
Nobilis,1.9500000000000004
Avanquest Software,1.6800000000000002
Mystique,0.8200000000000001
CTO SpA,0.9000000000000001
Global Star,7.58999999999999
GameTek,0.1
LSP Games,0.13
On Demand,0.21000000000000002
Gamecock,0.18
Detn8 Games,0.22999999999999998
Extreme Entertainment Group,0.03
Avalon Interactive,0.4900000000000001
Panther Software,0.17
Visco,0.02
Adeline Software,0.18000000000000002
Mud Duck Productions,0.83
Ascaron Entertainment GmbH,0.10999999999999999
Psygnosis,7.279999999999993
Activision Value,6.979999999999995
TopWare Interactive,0.04
Magix,0.34
Wizard Video Games,0.62
White Park Bay Software,0.15000000000000002
Type-Moon,0.1
Masque Publishing,0.01
Mirai Shounen,0.02
Iceberg Interactive,0.07
ITT Family Games,0.34
Genterprise,0.01
Hackberry,0.31
Marvel Entertainment,0.05
Acclaim Entertainment,64.00999999999998
Sunrise Interactive,0.16999999999999998
Benesse,0.33
Happinet,0.18000000000000002
DHM Interactive,0.16999999999999998
Locus,0.07
Culture Publishers,0.09
City Interactive,4.549999999999996
ASC Games,2.02
Office Create,0.06
Gathering of Developers,1.2000000000000002
Aqua Plus,1.2600000000000005
UFO Interactive,0.9600000000000004
Laguna,1.55
Coleco,3.07
Asmik Corp,0.17
Milestone S.r.l,0.060000000000000005
Pacific Century Cyber Works,0.26
Performance Designed Products,0.36
Giga,0.02
Evolution Games,0.06
RedOctane,8.69
HuneX,0.03
Yuke's,0.07
Fuji,0.03
Vic Tokai,0.28
SNK,2.5899999999999985
Accolade,1.6600000000000004
Jorudan,0.95
Imagineer,2.6499999999999986
Telltale Games,2.699999999999997
XS Games,1.4600000000000002
Quelle,0.8700000000000001
ASK,0.03
EA Games,0.15
Aksys Games,0.43000000000000005
Ivolgamus,0.03
Paradox Interactive,0.7000000000000004
